Runtime (em: downsample): 1.6689300537109375e-06
Runtime (cy: downsample): 2.379638195037842
Runtime (cy (older): downsample): 6.9141387939453125e-06
         879806 function calls (864749 primitive calls) in 3.646 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-10>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-6>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(<module>)
        3    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(_held_figure)
        1    0.000    0.000    0.000    0.000 <decorator-gen-8>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-9>:1(<module>)
     2066    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:102(release)
     1291    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:142(__init__)
     1291    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap>:146(__enter__)
     1291    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:153(__exit__)
     2066    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap>:159(_get_module_lock)
     1282    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(cb)
      775    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:178(_lock_unlock_module)
   1379/3    0.001    0.000    1.223    0.408 <frozen importlib._bootstrap>:197(_call_with_frames_removed)
     9410    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:208(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:218(_requires_builtin_wrapper)
      956    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:293(__init__)
      956    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:297(__enter__)
      956    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap>:304(__exit__)
     3822    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:307(<genexpr>)
      817    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1384    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:355(__init__)
     1768    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:389(cached)
     2509    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:402(parent)
      956    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:410(has_location)
       38    0.000    0.000    0.079    0.002 <frozen importlib._bootstrap>:419(spec_from_loader)
      956    0.005    0.000    0.023    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
  956/842    0.002    0.000    0.173    0.000 <frozen importlib._bootstrap>:553(module_from_spec)
     1282    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:57(__init__)
     33/6    0.000    0.000    0.280    0.047 <frozen importlib._bootstrap>:612(_load_backward_compatible)
